"Country","Name","State","Name (Native Language)","Level"
"","United Nations Convention to Combat Desertification (UNCCD) 2018-2030 Strategic Framework (Decision 7/COP.13)","Published","United Nations Convention to Combat Desertification (UNCCD) 2018-2030 Strategic Framework (Decision 7/COP.13)","Global"
"","Kumming-Montreal Global Biodiversity Framework (CBD/COP/DEC/15/4)","Published","Kumming-Montreal Global Biodiversity Framework (CBD/COP/DEC/15/4)","Global"
"","Paris Agreement","Published","Paris Agreement","Global"
"","Transforming our world: the 2030 Agenda for Sustainable Development (United Nations Sustainable Development Goals)","Published","Transforming our world: the 2030 Agenda for Sustainable Development (United Nations Sustainable Development Goals)","Global"
"","UN Decade on Ecosystem Restoration Strategy & Action Plan","Published","UN Decade on Ecosystem Restoration Strategy & Action Plan","Global"
"United Kingdom","Agricultural Transition Plan update January 2024","Published","Agricultural Transition Plan update January 2024","National"
"United Kingdom","National Flood and Coastal Erosion Risk Management Strategy for England","Published","National Flood and Coastal Erosion Risk Management Strategy for England","National"
"","Ramsar Convention (Convention on Wetlands of International Importance especially as Waterfowl Habitat)","Published","Ramsar Convention (Convention on Wetlands of International Importance especially as Waterfowl Habitat)","Global"
"","United Nations Conservation and Sustainable Management of Peatlands (UNEP/EA.4/Res.16)","Published","United Nations Conservation and Sustainable Management of Peatlands (UNEP/EA.4/Res.16)","Global"
"","The Habitats Directive (Council Directive 92/43/EEC)","Published","The Habitats Directive (Council Directive 92/43/EEC)","European"
"","The Birds Directive (2009/147/EC)","Published","The Birds Directive (2009/147/EC)","European"
"","Water Framework Directive (2000/60/EC)","Published","Water Framework Directive (2000/60/EC)","European"
"","Floods Directive (Directive 2007/60/E)","Cancelled","Floods Directive (Directive 2007/60/E)","European"
"","Common Agricultural Policy 2023-27","Published","Common Agricultural Policy 2023-27","European"
"","The European Green Deal (COM(2019) 640 final 11.12.2019)","Published","The European Green Deal (COM(2019) 640 final 11.12.2019)","European"
"","EU Farm to Fork Strategy","Published","EU Farm to Fork Strategy","European"
"","EU Biodiversity Strategy for 2030","Published","EU Biodiversity Strategy for 2030","European"
"","Land use, land-use change and forestry Regulation (LULUCF) (Regulation (EU) 2018/841)","Published","Land use, land-use change and forestry Regulation (LULUCF) (Regulation (EU) 2018/841)","European"
"Ireland","Regional Spatial and Economic Strategy 2020-2032 (RSES)","Published","Regional Spatial and Economic Strategy 2020-2032 (RSES)","Regional"
"Italy","2030: The Regional Strategy for Sustainable Development (SRSvS) (Veneto) (2020)","Cancelled","2030: La Strategia Regionale per lo Sviluppo Sostenibile (SRSvS) (Veneto) (2020)","Regional"
"Ireland","Westmeath County Development Plan 2021-2027","Published","Westmeath County Development Plan","Local"
"Bulgaria","Integrated Territorial Development Strategy for the Southwestern Region","Published","Интегрирана териториална стратегия за развитие на Югозападен регион","Regional"
"Poland","Vistula River Basin District Water Management Plan","Published","Planu gospodarowania wodami na obszarze dorzecza Wisły","National"
"Estonia","Pärnu Climate Plan 2030","Published","Pärnumaa Kliimakava 2030","Local"
"Estonia","Lääneranna Rural Municipality Development Plan 2018-2028","Published","Lääneranna valla arengukava 2018-2028 kinnitamine","Local"
"Italy","Regional Economics and Finance Document (DEFR) (2025)","Cancelled","Il Documento di Economia e Finanza Regionale (DEFR) (2025)","Regional"
"United Kingdom","Net Zero Strategy: Build Back Greener","Published","Net Zero Strategy: Build Back Greener","National"
"United Kingdom","Powering Up Britain – The Net Zero Growth Plan","Cancelled","Powering Up Britain – The Net Zero Growth Plan","National"
"United Kingdom","Environmental Improvement Plan 2023: First revision of the 25 Year Environment Plan","Published","Environmental Improvement Plan 2023: First revision of the 25 Year Environment Plan","National"
"United Kingdom","Mobilising Green Investment","Cancelled","Mobilising Green Investment","National"
"United Kingdom","A Green Future: Our 25 Year Plan to Improve the Environment","Published","A Green Future: Our 25 Year Plan to Improve the Environment","National"
"United Kingdom","England Peat Action Plan","Published","England Peat Action Plan","Regional"
"Bulgaria","Danube River Basin Management Plan  2016-2021 (summary)","Published","План за управление на речните басейни в Дунавски район 2016-2021г.","National"
"Poland","(no peat) National Regional Development Strategy 2030","Cancelled","Krajowa Strategia Rozwoju Regionalnego 2030 (KSRR 2030)","National"
"United Kingdom","UK Net Zero Research and Innovation Framework: Delivery Plan 2022-2025","Published","UK Net Zero Research and Innovation Framework: Delivery Plan 2022-2025","National"
"United Kingdom","Plan for Water: Our integrated plan for delivering clean and plentiful water","Published","Plan for Water: Our integrated plan for delivering clean and plentiful water","National"
"Poland","Strategic Adaptation Plan for Climate Change Sectors and Areas by 2020 with a 2030 Perspective","Published","Strategiczny plan adaptacji dla sektorów i obszarów wrażliwych na zmiany klimatu do roku 2020 z perspektywą do roku 2030","National"
"Poland","Strategy for the Sustainable Development of Rural Areas, Agriculture and Fisheries 2030","Published","Strategia zrównoważonego rozwoju wsi rolnictwa i rybactwa 2030","National"
"Ireland","Longford County Development Plan 2021-2027","Published","Longford County Development Plan","Local"
"Ireland","Offaly County Development Plan 2021-2027","Published","Offaly County Development Plan","Local"
"Poland","Strategic Plan for the Common Agricultural Policy for 2023-2027 v 3.2","Published","Plan Strategiczny dla Wspólnej Polityki Rolnej na lata 2023-2027 wersja 3.2","National"
"Poland","2030 National Environmental Policy (PEP2030)","Published","Polityka ekologiczna państwa 2030","National"
"Ireland","Conservation Objectives for Cuilcagh Anierin Uplands SAC","Published","","Local"
"Ireland","Leitrim County Development Plan 2023-2029","Published","Leitrim County Development Plan 2023-2029","Local"
"Ireland","County Leitrim Biodiversity Action Plan 2022-2027","Published","","Local"
"Ireland","Cavan County Development Plan 2022-2028","Published","Cavan County Development Plan 2022-2028","Local"
"Ireland","Cavan Climate Action Plan 2024-2029","Published","Cavan Climate Action Plan 2024-2029","Local"
"Ireland","County Monaghan Wetland Action Plan (2020-2021)","Published","County Monaghan Wetland Action Plan (2020-2021)","Local"
"Ireland","Roscommon County Development Plan 2022-2028","Published","Roscommon County Development Plan","Local"
"Ireland","Galway County Development Plan 2022-2028","Published","Galway County Development Plan 2022-2028","Local"
"Bulgaria","National Climate Change Adaptation Strategy and Action Plan","Published","Националната стратегия и План за действие за адаптиране към изменението на климата","National"
"Bulgaria","Integrated National Energy and Climate Plan of the Republic of Bulgaria 2021-2030","Published","Интегриран план в областта на енергетиката и климата на Република България 2021 – 2030","National"
"Bulgaria","Third National Climate Change Action Plan","Published","Трети Национален План За Действие По Изменениe НаКлимата","National"
"Bulgaria","National Recovery and Resilience Plan","Published","Национален план за възстановяване и устойчивост","National"
"Bulgaria","National Action Plan for Conservation of Wetlands of High Significance in Bulgaria 2013-2022","Published","Национален план за опазване на най-значимите влажни зони в България 2013-2022","National"
"Bulgaria","Bulgaria 2030: National Development Programme","Published","Национална програма за развитие БЪЛГАРИЯ 2030","National"
"Bulgaria","CAP Strategic plan for the development of agriculture and rural areas 2023-2027","Published","Стратегически план за развитие на земеделието и селските райони 2023-2027","National"
"Estonia","Nature Conservation Development Plan until 2020","Published","Looduskaitse arengukava (LAK) aastani 2020","National"
"Estonia","Prioritised Action Framework (PAF) for NATURA 2000 in Estonia (2021-2027)","Published","Natura 2000 tegevuskava 2021-2027","National"
"Estonia","National Forestry Development Plan until 2030 (MAK2030)","Published","Metsanduse arengukava aastani 2030 (MAK2030)","National"
"Estonia","Wet Forest Habitats Action Plan","Published","Märgade metsaelupaigatüüpide tegevuskava","National"
"Estonia","Estonian Forest Act","Cancelled","Metsaseadus","National"
"Estonia","Overview of the Implementation Plan of the 'Estonia 2035' Action Plan","Published","Ülevaade „Eesti 2035“ tegevuskava elluviimisest","National"
"Estonia","Estonian Environmental Strategy 2030","Published","Eesti Keskkonnastrateegia aastani 2030","National"
"Estonia","Climate Change Adaptation Development Plan Until 2030","Published","Kliimamuutustega Kohanemise arengukava aastani 2030","National"
"Estonia","Action Plan for Protected Mires","Published","Kaitstavate Soode Tegevuskava","National"
"Estonia","Energy Economy Development Plan (ENMAK) until 2030","Published","Energiamajanduse arengukava (ENMAK) aastani 2030","National"
"Estonia","General Principles of Climate Policy until 2050","Published","Kliimapoliitika põhialused aastani 2050","National"
"Ireland","National Peatlands Strategy","Published","National Peatlands Strategy","National"
"Belgium","Flemish Energy and Climate Plan 2021-2030 (VEKP)","Published","Vlaams Energie en Klimaatplan 2021-2030 (VEKP)","Regional"
"Ireland","4th National Biodiversity Action Plan 2023-2030","Published","4th National Biodiversity Action Plan 2023-2030","National"
"Ireland","Ireland CAP Strategic Plan 2023-2027","Published","Ireland CAP Strategic Plan 2023-2027","National"
"Ireland","Climate Action Plan 2024","Published","Climate Action Plan 2024","National"
"Belgium","Flemish Climate Adaptation Plan 2030","Published","Vlaams klimaatadaptatieplan 2030","Regional"
"Italy","Italy CAP Strategic Plan (2023-2027)","Published","Piano Strategico Nazionale PAC (2023-2027)","National"
"Italy","National Plan of Recovery and Resilience (PNRR) (2021-2026)","Published","Piano Nazionale Ripresa e Resilienza (PNRR) (2021-226)","National"
"Belgium","Wallonia Air Climate Energy Plan 2030 (PACE)","Published","Plan Air Climat Energie 2030 de la Wallonie (PACE)","Regional"
"Italy","National Plan For Adaptation to Climate Change (PNACC) (2023)","Published","Piano Nazionale di Adattamento ai Cambiamenti Climatici (PNACC) (2023)","National"
"Belgium","Flemish Climate Strategy for 2050","Published","Vlaamse klimaatstrategie 2050","Regional"
"Ireland","National Planning Framework 2020-2040","Published","National Planning Framework 2020-2040","National"
"Ireland","National Development Plan 2021-2030","Published","National Development Plan 2021-2030","National"
"Ireland","Food Vision 2030","Published","Food Vision 2030","National"
"Italy","Plan for Ecological Transition (PTE) (2022)","Cancelled","Piano per La Transizione Ecologica (PTE) (2022)","National"
"Belgium","Flemish CAP Strategic Plan 2023-2027","Published","Gemeenschappelijk Landbouwbeleid (GLB) 2023-2027","Regional"
"Italy","Italy's National Strategy for Sustainable Development (SNSvS22) (2022)","Cancelled","Strategia Nazionale per lo Sviluppo Sostenibile (SNSvS22) (2022)","National"
"Belgium","Flemish Action Plan Wild Pollinators (2022)","Cancelled","Vlaams actieplan wilde bestuivers (2022)","Regional"
"Italy","Italy's National Biodiversity Strategy 2030 (SNB)","Published","Strategia Nazionale Biodiversità 2030 (SNB)","National"
"Ireland","Ag-Climatise - A Roadmap towards Climate Neutrality","Published","Ag Climastise Treochlár i dTreo Aeráidneodrachtra","National"
"Ireland","Biodiversity Climate Change Sectoral Adaptation Plan 2019","Published","Biodiversity Climate Change Sectoral Adaptation Plan 2019","National"
"Ireland","Ireland's Forest Strategy 2023-2030","Published","","National"
"Ireland","Heritage Ireland 2030: A Framework for Heritage","Published","Heritage Ireland 2030","National"
"Ireland","Water Action Plan 2024","Published","","National"
"Ireland","Our Rural Future: Rural Development Policy 2021-2025","Published","Our Rural Future: Rural Development Policy 2021-2025","National"
"Netherlands","National Environment Vision (NOVI)","Published","Nationale Omgevingsvisie (NOVI)","National"
"Netherlands","The Netherlands National Strategic Plan CAP 2023-2027","Published","Nederlands Nationaal Strategisch Plan GLB 2023-2027","National"
"Netherlands","Dutch National Climate Adaptation Strategy (NAS) (2016)","Published","Nationale Klimaatadaptatiestrategie (NAS) (2016)","National"
"Netherlands","Dutch Climate Agenda: Resilient, Prosperous and Green (2014)","Published","Klimaatagenda: weerbaar, welvarend en groen  (2014)","National"
"Netherlands","Action Programme for Climate Adaptation in Agriculture (2020)","Published","Actieprogramma voor klimaatadaptatie in de landbouw (2020)","National"
"Netherlands","Nature Implementation Programme (2020)","Published","Uitvoeringsprogramma Natuur (2020)","National"
"Netherlands","Dutch National Climate Agreement (2019)","Published","Nationaal Klimaatakkoord (2019)","National"
