ppp_country,Match,No Match,Total,Match_Percentage
Austria,2,7,9,22.22
Belgium,0,25,25,0.0
Bulgaria,4,9,13,30.77
Croatia,1,8,9,11.11
Cyprus,0,16,16,0.0
Czech Republic,1,13,14,7.14
Denmark,1,10,11,9.09
Estonia,4,20,24,16.67
Finland,1,23,24,4.17
France,0,21,21,0.0
Germany,8,58,66,12.12
Greece,0,17,17,0.0
Hungary,0,9,9,0.0
Ireland,12,23,35,34.29
Italy,1,30,31,3.23
Latvia,4,13,17,23.53
Lithuania,0,16,16,0.0
Luxembourg,0,9,9,0.0
Malta,0,3,3,0.0
Netherlands,1,26,27,3.7
No Country,0,30,30,0.0
Poland,1,16,17,5.88
Portugal,0,10,10,0.0
Romania,2,13,15,13.33
Slovakia,3,27,30,10.0
Slovenia,0,9,9,0.0
Spain,2,20,22,9.09
Sweden,4,9,13,30.77
United Kingdom,14,15,29,48.28
