ppp_country,Match,Not in Overton,Total from PPP,Match_Percentage,Total from Overton
Austria,2,7,9,22.22,645.0
Belgium,0,25,25,0.0,440.0
Bulgaria,4,9,13,30.77,341.0
Croatia,1,8,9,11.11,109.0
Cyprus,0,16,16,0.0,133.0
Czech Republic,1,13,14,7.14,72.0
Denmark,1,10,11,9.09,243.0
Estonia,4,20,24,16.67,602.0
Finland,1,23,24,4.17,1062.0
France,0,21,21,0.0,325.0
Germany,8,58,66,12.12,1019.0
Greece,0,17,17,0.0,137.0
Hungary,0,9,9,0.0,118.0
Ireland,12,23,35,34.29,4373.0
Italy,1,30,31,3.23,227.0
Latvia,4,13,17,23.53,630.0
Lithuania,0,16,16,0.0,10.0
Luxembourg,0,9,9,0.0,12.0
Malta,0,3,3,0.0,5.0
Netherlands,1,26,27,3.7,656.0
Poland,1,16,17,5.88,100.0
Portugal,0,10,10,0.0,157.0
Romania,2,13,15,13.33,219.0
Slovakia,3,27,30,10.0,179.0
Slovenia,0,9,9,0.0,92.0
Spain,2,20,22,9.09,1205.0
Sweden,4,9,13,30.77,2120.0
United Kingdom,14,15,29,48.28,16944.0
